n,W,b,Tiempo,Metodo,nodo
1700,3200,3714,5.6394,Dinamica,114
8100,4700,7471,116.745,Dinamica,119
3800,9200,5016,25.8216,Dinamica,313
2800,1200,4312,12.7531,Dinamica,101
1700,1900,3193,7.3061,Dinamica,384
4100,2000,5006,34.3242,Dinamica,249
2100,7600,4077,7.06806,Dinamica,1199
100,2600,958,0.10852,Dinamica,128
7800,4900,7004,109.54,Dinamica,1228
3300,9300,4274,18.6676,Dinamica,578
5000,6100,5614,43.8456,Dinamica,189
3600,5500,4825,24.6543,Dinamica,609
9900,6300,8041,481.968,Dinamica,1216
8800,5800,7453,288.877,Dinamica,115
2700,2400,4532,15.104,Dinamica,461
5900,1300,6026,63.0911,Dinamica,123
6600,2700,6486,80.0981,Dinamica,2361
2000,3000,3926,6.27705,Dinamica,985
6200,5900,7045,70.1223,Dinamica,434
6000,1000,6229,65.2541,Dinamica,1831
4500,800,4709,40.3404,Dinamica,332
6800,9000,6872,83.105,Dinamica,450
2200,4600,3712,7.7431,Dinamica,292
500,7800,1742,1.00024,Dinamica,567
500,4300,1608,0.634708,Dinamica,852
4900,6400,5975,40.2669,Dinamica,509
7200,8000,7814,100.715,Dinamica,1438
7400,700,6531,99.3564,Dinamica,261
3500,8100,5040,22.911,Dinamica,6480
1800,9600,3472,7.62929,Dinamica,1716
9000,2600,7834,320.011,Dinamica,153
3600,1700,4418,26.8389,Dinamica,3162
7800,2600,7467,109.941,Dinamica,740
2900,3900,4423,17.9452,Dinamica,717
200,4200,1340,0.195056,Dinamica,527
3200,8400,4481,16.4754,Dinamica,116
1400,7200,3079,3.52927,Dinamica,842
9500,700,7182,423.078,Dinamica,129
4500,7600,5971,37.4087,Dinamica,722
100,6000,826,0.057002,Dinamica,63
7600,400,7094,105.252,Dinamica,103
6900,3300,6084,88.4003,Dinamica,94
800,3900,2214,1.01897,Dinamica,288
400,6400,2124,0.583182,Dinamica,275
4600,1000,5051,37.2619,Dinamica,271
5500,900,6179,52.4067,Dinamica,325
6100,2200,6431,69.3352,Dinamica,1233
3000,6900,4657,17.4287,Dinamica,490
3800,700,4738,25.8987,Dinamica,71
2600,7100,3823,17.1753,Dinamica,502
1000,8100,2763,2.48081,Dinamica,263
6900,1400,6520,84.0331,Dinamica,162
6000,9100,6861,65.072,Dinamica,1457
5000,500,6116,44.9887,Dinamica,85
8900,2100,7657,315.651,Dinamica,1264
10000,9000,7768,481.585,Dinamica,398
100,7900,985,0.062226,Dinamica,242
7000,9000,6862,88.8582,Dinamica,5418
1100,2000,2520,2.6256,Dinamica,1157
7900,800,7293,110.087,Dinamica,250
700,9600,1743,0.847762,Dinamica,820
5100,1100,5294,45.0352,Dinamica,200
1100,700,2224,1.73574,Dinamica,86
2400,2900,3951,11.1436,Dinamica,507
4100,9800,5290,31.3615,Dinamica,1079
1100,8000,2675,2.45409,Dinamica,1006
9700,9100,8525,435.314,Dinamica,1283
