n,W,b,Tiempo,Metodo
3000,27000,4128,374.777,Dinamica_Top_Down
4000,27000,4885,500.002,Dinamica_Top_Down
5000,27000,5268,624.874,Dinamica_Top_Down
6000,27000,6048,751.288,Dinamica_Top_Down
7000,27000,7123,875.502,Dinamica_Top_Down
8000,27000,6662,917.348,Dinamica_Top_Down
9000,27000,8218,983.561,Dinamica_Top_Down
1000,28000,2408,112.863,Dinamica_Top_Down
2000,28000,3519,225.248,Dinamica_Top_Down
3000,28000,4795,337.563,Dinamica_Top_Down
4000,28000,5233,450.524,Dinamica_Top_Down
5000,28000,5412,563.368,Dinamica_Top_Down
6000,28000,5945,697.863,Dinamica_Top_Down
7000,28000,6704,910.996,Dinamica_Top_Down
8000,28000,7543,1037.97,Dinamica_Top_Down
9000,28000,7494,1170.62,Dinamica_Top_Down
1000,29000,2555,133.675,Dinamica_Top_Down
2000,29000,3687,270.359,Dinamica_Top_Down
3000,29000,4723,352.363,Dinamica_Top_Down
4000,29000,5541,465.708,Dinamica_Top_Down
5000,29000,5869,583.434,Dinamica_Top_Down
6000,29000,5819,709.198,Dinamica_Top_Down
7000,29000,7394,815.442,Dinamica_Top_Down
8000,29000,7842,945.686,Dinamica_Top_Down
9000,29000,8671,1213.59,Dinamica_Top_Down
1000,30000,2521,139.637,Dinamica_Top_Down
2000,30000,3274,276.519,Dinamica_Top_Down
3000,30000,4391,416.612,Dinamica_Top_Down
4000,30000,5586,558.931,Dinamica_Top_Down
5000,30000,5430,695.208,Dinamica_Top_Down
6000,30000,6871,767.039,Dinamica_Top_Down
7000,30000,7158,842.998,Dinamica_Top_Down
8000,30000,7595,966.911,Dinamica_Top_Down
9000,30000,7572,1085.39,Dinamica_Top_Down
1000,31000,2484,124.742,Dinamica_Top_Down
2000,31000,3449,249.547,Dinamica_Top_Down
3000,31000,4298,429.672,Dinamica_Top_Down
4000,31000,5874,576.151,Dinamica_Top_Down
5000,31000,5251,719.023,Dinamica_Top_Down
6000,31000,6811,862.875,Dinamica_Top_Down
7000,31000,7131,1007.04,Dinamica_Top_Down
8000,31000,7559,1016.56,Dinamica_Top_Down
9000,31000,7026,1127.45,Dinamica_Top_Down
1000,32000,2386,128.792,Dinamica_Top_Down
2000,32000,3678,258.203,Dinamica_Top_Down
3000,32000,4715,386.598,Dinamica_Top_Down
4000,32000,4925,514.462,Dinamica_Top_Down
5000,32000,5515,664.984,Dinamica_Top_Down
6000,32000,6325,892.626,Dinamica_Top_Down
7000,32000,6695,1036.46,Dinamica_Top_Down
8000,32000,7121,1186.76,Dinamica_Top_Down
9000,32000,7989,1675.15,Dinamica_Top_Down
1000,33000,2171,209.816,Dinamica_Top_Down
2000,33000,3169,418.437,Dinamica_Top_Down
3000,33000,4123,625.553,Dinamica_Top_Down
4000,33000,4500,836.637,Dinamica_Top_Down
5000,33000,5312,939.428,Dinamica_Top_Down
6000,33000,6577,1038.42,Dinamica_Top_Down
7000,33000,5985,1210.45,Dinamica_Top_Down
8000,33000,7637,1341.73,Dinamica_Top_Down
9000,33000,8525,1373.71,Dinamica_Top_Down
1000,34000,2731,157.899,Dinamica_Top_Down
2000,34000,3431,314.332,Dinamica_Top_Down
3000,34000,4283,474.416,Dinamica_Top_Down
4000,34000,5050,630.667,Dinamica_Top_Down
5000,34000,6578,745.415,Dinamica_Top_Down
6000,34000,6020,824.295,Dinamica_Top_Down
7000,34000,6455,959.614,Dinamica_Top_Down
8000,34000,6625,1090.82,Dinamica_Top_Down
9000,34000,7506,1334.14,Dinamica_Top_Down
1000,35000,2488,164.284,Dinamica_Top_Down
2000,35000,3823,325.197,Dinamica_Top_Down
3000,35000,4724,486.908,Dinamica_Top_Down
4000,35000,5282,650.172,Dinamica_Top_Down
5000,35000,5785,811.489,Dinamica_Top_Down
6000,35000,6352,923.469,Dinamica_Top_Down
7000,35000,6158,983.662,Dinamica_Top_Down
8000,35000,6655,1129.71,Dinamica_Top_Down
9000,35000,7878,1267.02,Dinamica_Top_Down
1000,36000,2184,159.863,Dinamica_Top_Down
2000,36000,3365,334.154,Dinamica_Top_Down
3000,36000,4379,502.779,Dinamica_Top_Down
4000,36000,5051,669.018,Dinamica_Top_Down
5000,36000,5960,836.122,Dinamica_Top_Down
6000,36000,5929,1006.69,Dinamica_Top_Down
7000,36000,6785,1054.9,Dinamica_Top_Down
8000,36000,6539,1162.04,Dinamica_Top_Down
9000,36000,7837,1313.21,Dinamica_Top_Down
1000,37000,2412,149.007,Dinamica_Top_Down
2000,37000,3904,299.813,Dinamica_Top_Down
3000,37000,4292,504.844,Dinamica_Top_Down
4000,37000,4785,684.522,Dinamica_Top_Down
5000,37000,5817,856.413,Dinamica_Top_Down
6000,37000,6779,1026.9,Dinamica_Top_Down
7000,37000,6603,1357.78,Dinamica_Top_Down
8000,37000,7223,1883.44,Dinamica_Top_Down
9000,37000,8297,1968.78,Dinamica_Top_Down
1000,38000,2205,199.495,Dinamica_Top_Down
2000,38000,4239,397.209,Dinamica_Top_Down
3000,38000,4848,597.613,Dinamica_Top_Down
4000,38000,4804,793.774,Dinamica_Top_Down
5000,38000,6099,991.755,Dinamica_Top_Down
6000,38000,6344,1070.24,Dinamica_Top_Down
7000,38000,7010,1229.17,Dinamica_Top_Down
8000,38000,7647,1404.08,Dinamica_Top_Down
9000,38000,7628,1407.09,Dinamica_Top_Down
1000,39000,2928,157.104,Dinamica_Top_Down
