n,W,b,Tiempo,Metodo,Nodos
79,100,779,10.2483,Backtracking_fact,678037
80,100,744,55.2173,Backtracking_fact,5169349
81,100,726,28.9017,Backtracking_fact,2040052
82,100,771,72.433,Backtracking_fact,6690664
83,100,661,8.72838,Backtracking_fact,706504
84,100,552,6.68292,Backtracking_fact,593695
85,100,722,43.1163,Backtracking_fact,3767964
86,100,788,50.78,Backtracking_fact,4458672
87,100,580,19.8707,Backtracking_fact,1510644
88,100,883,2932.47,Backtracking_fact,286633457
89,100,717,137.641,Backtracking_fact,13785830
90,100,571,16.2185,Backtracking_fact,1351451
91,100,892,365.395,Backtracking_fact,36855683
92,100,777,14.592,Backtracking_fact,979139
93,100,719,160.671,Backtracking_fact,16764709
94,100,891,250.136,Backtracking_fact,22138674
95,100,825,124.618,Backtracking_fact,12351169
96,100,993,6416.29,Backtracking_fact,649708441
97,100,718,50.2192,Backtracking_fact,4866777
98,100,911,36.0751,Backtracking_fact,3497804
99,100,689,25.7127,Backtracking_fact,2024911
100,100,639,63.5667,Backtracking_fact,6510751
101,100,605,78.0471,Backtracking_fact,7249948
102,100,503,5.14808,Backtracking_fact,277643
103,100,921,1813.41,Backtracking_fact,186083845
104,100,740,1089.93,Backtracking_fact,117346352
105,100,576,13.3441,Backtracking_fact,1086273
106,100,779,119.756,Backtracking_fact,12193894
107,100,823,961.799,Backtracking_fact,89965382
108,100,1014,1132.71,Backtracking_fact,122503472
109,100,874,40.4696,Backtracking_fact,3456964
110,100,648,142.356,Backtracking_fact,14977675
111,100,821,130.423,Backtracking_fact,13799112
112,100,877,1164.48,Backtracking_fact,123384146
113,100,1337,70309.1,Backtracking_fact,
114,100,667,41.9877,Backtracking_fact,3871732
115,100,718,41.4475,Backtracking_fact,3048949
116,100,1156,1035.95,Backtracking_fact,101566385
117,100,902,3745.88,Backtracking_fact,366095050
118,100,1057,203.998,Backtracking_fact,16439834
119,100,736,271.482,Backtracking_fact,25715004
120,100,1009,1737.36,Backtracking_fact,140896547
121,100,1087,6824.66,Backtracking_fact,613622371
122,100,746,84.4794,Backtracking_fact,8262158
123,100,1041,2047.8,Backtracking_fact,200913441
124,100,703,497.488,Backtracking_fact,48544508
125,100,762,259.068,Backtracking_fact,26459560
126,100,1062,1265.69,Backtracking_fact,130866355
127,100,788,325.802,Backtracking_fact,33854757
128,100,1020,16958.9,Backtracking_fact,1788614395
129,100,842,1507.07,Backtracking_fact,155383862
130,100,900,3192.01,Backtracking_fact,330047913
131,100,928,6386.8,Backtracking_fact,664303785
132,100,915,6314.75,Backtracking_fact,685021148
133,100,792,129.305,Backtracking_fact,13495527
134,100,1039,29322.8,Backtracking_fact,
135,100,819,167.87,Backtracking_fact,17889570
136,100,891,2988.88,Backtracking_fact,313708360
137,100,867,540.618,Backtracking_fact,57028647
138,100,1176,25179.4,Backtracking_fact,
139,100,1061,4809.23,Backtracking_fact,476941650
140,100,834,2372.12,Backtracking_fact,229653398
141,100,915,6855.69,Backtracking_fact,671558141
142,100,1181,37233.2,Backtracking_fact,
143,100,827,687.037,Backtracking_fact,66560440
144,100,822,429.997,Backtracking_fact,43505804
145,100,905,482.877,Backtracking_fact,47406684
146,100,1184,66029.3,Backtracking_fact,
147,100,1151,10541.7,Backtracking_fact,1026428752
148,100,1035,7418.77,Backtracking_fact,760317892
149,100,1039,17686.1,Backtracking_fact,1822216938
150,100,822,856.845,Backtracking_fact,79800988
151,100,1146,68862.3,Backtracking_fact,
152,100,943,7127.44,Backtracking_fact,687202804
153,100,913,2259.37,Backtracking_fact,195944241
154,100,910,899.984,Backtracking_fact,78352410
155,100,1205,27463.1,Backtracking_fact,
156,100,981,6315.96,Backtracking_fact,649489212
157,100,660,813.772,Backtracking_fact,81268341
158,100,933,3710.45,Backtracking_fact,381078827
159,100,878,55943.1,Backtracking_fact,1059565140
2,100,167,0.008179,Backtracking_fact,7
3,100,86,0.015724,Backtracking_fact,7
4,100,90,0.010767,Backtracking_fact,9
5,100,182,0.008457,Backtracking_fact,46
6,100,147,0.010996,Backtracking_fact,43
7,100,228,0.014013,Backtracking_fact,22
8,100,168,0.011864,Backtracking_fact,25
9,100,282,0.024996,Backtracking_fact,92
10,100,267,0.015827,Backtracking_fact,66
11,100,289,0.023627,Backtracking_fact,144
12,100,262,0.013496,Backtracking_fact,127
13,100,284,0.019055,Backtracking_fact,477
14,100,192,0.013852,Backtracking_fact,77
15,100,348,0.020849,Backtracking_fact,688
16,100,198,0.016534,Backtracking_fact,104
17,100,365,0.024498,Backtracking_fact,476
18,100,307,0.024552,Backtracking_fact,377
19,100,198,0.020226,Backtracking_fact,137
20,100,323,0.014249,Backtracking_fact,267
21,100,412,0.040503,Backtracking_fact,2606
22,100,400,0.027747,Backtracking_fact,1398
23,100,443,0.05038,Backtracking_fact,1952
24,100,412,0.085322,Backtracking_fact,4260
25,100,369,0.054843,Backtracking_fact,2461
26,100,459,0.211178,Backtracking_fact,11409
27,100,377,0.0566,Backtracking_fact,2098
28,100,507,0.091138,Backtracking_fact,4730
29,100,390,0.116502,Backtracking_fact,6171
30,100,248,0.043629,Backtracking_fact,1622
31,100,449,0.182803,Backtracking_fact,10289
32,100,386,0.067205,Backtracking_fact,1765
33,100,408,0.085742,Backtracking_fact,3877
34,100,482,0.230913,Backtracking_fact,12727
35,100,409,0.061842,Backtracking_fact,4542
36,100,486,0.277352,Backtracking_fact,17103
37,100,444,0.549382,Backtracking_fact,31897
38,100,475,0.143647,Backtracking_fact,9516
39,100,382,0.107714,Backtracking_fact,5390
2,100,42,0.016081,Backtracking_fact,6
3,100,34,0.01101,Backtracking_fact,7
4,100,219,0.01805,Backtracking_fact,31
5,100,126,0.02028,Backtracking_fact,20
6,100,99,0.019565,Backtracking_fact,15
7,100,136,0.023137,Backtracking_fact,67
8,100,247,0.022261,Backtracking_fact,45
9,100,183,0.022812,Backtracking_fact,59
10,100,228,0.02442,Backtracking_fact,55
11,100,257,0.020868,Backtracking_fact,128
12,100,244,0.020696,Backtracking_fact,113
13,100,300,0.027107,Backtracking_fact,110
14,100,211,0.02877,Backtracking_fact,188
15,100,229,0.028024,Backtracking_fact,166
16,100,282,0.02269,Backtracking_fact,1062
17,100,252,0.02207,Backtracking_fact,488
18,100,173,0.033571,Backtracking_fact,90
19,100,252,0.031031,Backtracking_fact,328
20,100,307,0.031863,Backtracking_fact,623
21,100,508,0.202396,Backtracking_fact,11621
22,100,400,0.047738,Backtracking_fact,1918
23,100,293,0.019834,Backtracking_fact,682
24,100,354,0.034067,Backtracking_fact,2034
25,100,357,0.246047,Backtracking_fact,23677
26,100,540,0.111968,Backtracking_fact,5030
27,100,465,0.048951,Backtracking_fact,1587
28,100,233,0.029849,Backtracking_fact,1480
29,100,492,0.155602,Backtracking_fact,13865
30,100,452,0.107375,Backtracking_fact,4791
31,100,275,0.047,Backtracking_fact,1577
32,100,239,0.023411,Backtracking_fact,730
33,100,474,0.633992,Backtracking_fact,35523
34,100,421,0.369471,Backtracking_fact,21638
35,100,297,0.060936,Backtracking_fact,2344
36,100,536,0.251908,Backtracking_fact,22604
37,100,440,0.241493,Backtracking_fact,12333
38,100,495,0.230696,Backtracking_fact,10760
39,100,464,0.10295,Backtracking_fact,3839
2,100,64,0.011737,Backtracking_fact,7
3,100,88,0.014437,Backtracking_fact,8
4,100,92,0.013889,Backtracking_fact,9
5,100,130,0.015134,Backtracking_fact,17
6,100,261,0.01882,Backtracking_fact,32
7,100,175,0.017633,Backtracking_fact,31
8,100,296,0.022023,Backtracking_fact,107
9,100,356,0.018762,Backtracking_fact,135
10,100,268,0.026069,Backtracking_fact,122
11,100,182,0.02437,Backtracking_fact,50
12,100,133,0.022666,Backtracking_fact,49
13,100,238,0.028309,Backtracking_fact,159
14,100,265,0.026264,Backtracking_fact,259
15,100,334,0.04007,Backtracking_fact,651
16,100,415,0.036635,Backtracking_fact,575
17,100,257,0.02879,Backtracking_fact,552
18,100,252,0.041679,Backtracking_fact,404
19,100,461,0.046185,Backtracking_fact,1302
20,100,391,0.047087,Backtracking_fact,744
21,100,351,0.051742,Backtracking_fact,948
22,100,351,0.071217,Backtracking_fact,1757
23,100,521,0.049529,Backtracking_fact,1784
24,100,311,0.046309,Backtracking_fact,856
