n,W,b,Tiempo,Metodo
9000,4000,7853,831.742,Dinamica
9000,4000,7175,830.018,Dinamica
9000,4000,7515,838.712,Dinamica
9000,4000,7215,872.158,Dinamica
9000,4000,7455,885.197,Dinamica
9000,4000,7709,843.696,Dinamica
1000,5000,2278,75.7638,Dinamica
1000,5000,2262,79.9889,Dinamica
1000,5000,2494,78.6619,Dinamica
1000,5000,2532,77.6406,Dinamica
1000,5000,2014,73.8418,Dinamica
1000,5000,2511,77.1818,Dinamica
1000,5000,2326,78.3361,Dinamica
1000,5000,2289,73.3799,Dinamica
1000,5000,2982,76.6652,Dinamica
1000,5000,2765,79.1597,Dinamica
2000,5000,3216,177.443,Dinamica
2000,5000,3396,188.94,Dinamica
2000,5000,2968,172.655,Dinamica
2000,5000,3081,175.25,Dinamica
2000,5000,3514,173.026,Dinamica
2000,5000,3698,183.269,Dinamica
2000,5000,3984,176.904,Dinamica
2000,5000,3878,181.12,Dinamica
2000,5000,3371,187.255,Dinamica
2000,5000,4034,190.453,Dinamica
3000,5000,4386,310.369,Dinamica
3000,5000,4970,316.044,Dinamica
3000,5000,4531,314.607,Dinamica
3000,5000,4209,302.048,Dinamica
3000,5000,4914,328.764,Dinamica
3000,5000,3858,311.904,Dinamica
3000,5000,4663,294.39,Dinamica
3000,5000,4214,291.392,Dinamica
3000,5000,4621,306.288,Dinamica
3000,5000,4971,299.615,Dinamica
4000,5000,4726,421.237,Dinamica
4000,5000,4688,419.03,Dinamica
4000,5000,5515,415.188,Dinamica
4000,5000,5646,413.381,Dinamica
4000,5000,4400,432.332,Dinamica
4000,5000,4548,420.507,Dinamica
4000,5000,5562,411.373,Dinamica
4000,5000,4740,423.527,Dinamica
4000,5000,4592,412.94,Dinamica
4000,5000,5112,413.502,Dinamica
5000,5000,6250,546.727,Dinamica
5000,5000,6370,561.298,Dinamica
5000,5000,5802,577.666,Dinamica
5000,5000,5917,569.309,Dinamica
5000,5000,5373,556.426,Dinamica
5000,5000,5920,550.269,Dinamica
5000,5000,5929,565.125,Dinamica
5000,5000,5506,561.206,Dinamica
5000,5000,4809,593.104,Dinamica
5000,5000,6063,543.333,Dinamica
6000,5000,6299,705.08,Dinamica
6000,5000,5861,666.816,Dinamica
6000,5000,6452,717.576,Dinamica
6000,5000,5890,697.774,Dinamica
6000,5000,6272,676.173,Dinamica
6000,5000,6381,689.021,Dinamica
6000,5000,6560,702.846,Dinamica
6000,5000,6205,697.739,Dinamica
6000,5000,6697,706.403,Dinamica
6000,5000,5961,709.599,Dinamica
7000,5000,6791,823.921,Dinamica
7000,5000,6788,829.036,Dinamica
7000,5000,6674,810.851,Dinamica
7000,5000,7150,838.424,Dinamica
7000,5000,7339,836.256,Dinamica
7000,5000,6133,807.27,Dinamica
7000,5000,5881,846.398,Dinamica
7000,5000,6763,821.947,Dinamica
7000,5000,6642,834.836,Dinamica
7000,5000,7366,852.198,Dinamica
8000,5000,7337,947.673,Dinamica
8000,5000,6938,945.774,Dinamica
8000,5000,7044,959.3,Dinamica
8000,5000,7367,958.199,Dinamica
8000,5000,7301,931.096,Dinamica
8000,5000,6830,936.9,Dinamica
8000,5000,6871,966.61,Dinamica
8000,5000,6444,957.184,Dinamica
8000,5000,7466,983.368,Dinamica
8000,5000,6677,959.429,Dinamica
9000,5000,7561,1096.62,Dinamica
9000,5000,7629,1119.7,Dinamica
9000,5000,7935,1117.71,Dinamica
9000,5000,7607,1124.93,Dinamica
9000,5000,8391,1110.92,Dinamica
9000,5000,7283,1080.55,Dinamica
9000,5000,7287,1069.45,Dinamica
9000,5000,7434,1107.1,Dinamica
9000,5000,7161,1095.4,Dinamica
9000,5000,7734,1122.39,Dinamica
1000,6000,3010,96.4826,Dinamica
1000,6000,2804,94.1517,Dinamica
1000,6000,3246,90.8691,Dinamica
1000,6000,2361,90.0143,Dinamica
1000,6000,2751,90.8152,Dinamica
1000,6000,2954,91.3165,Dinamica
1000,6000,2132,90.7281,Dinamica
1000,6000,2470,94.2567,Dinamica
1000,6000,2782,93.7215,Dinamica
1000,6000,2522,93.2862,Dinamica
2000,6000,3725,218.93,Dinamica
2000,6000,4128,213.71,Dinamica
2000,6000,3502,211.652,Dinamica
2000,6000,3570,222.709,Dinamica
2000,6000,3540,217.404,Dinamica
2000,6000,3637,214.654,Dinamica
2000,6000,4160,207.496,Dinamica
2000,6000,3412,224.724,Dinamica
2000,6000,3443,212.184,Dinamica
2000,6000,4015,217.201,Dinamica
3000,6000,4127,360.458,Dinamica
3000,6000,4879,357.618,Dinamica
3000,6000,4244,363.618,Dinamica
3000,6000,4071,384.258,Dinamica
3000,6000,4715,356.055,Dinamica
3000,6000,5475,375.753,Dinamica
3000,6000,4827,378.376,Dinamica
3000,6000,4350,364.758,Dinamica
3000,6000,4835,359.269,Dinamica
3000,6000,5196,357.211,Dinamica
4000,6000,4681,516.314,Dinamica
4000,6000,5463,514.407,Dinamica
4000,6000,5151,499.764,Dinamica
4000,6000,4484,521.904,Dinamica
4000,6000,5087,521.687,Dinamica
4000,6000,4783,536.238,Dinamica
4000,6000,5382,508.079,Dinamica
4000,6000,5765,500.099,Dinamica
4000,6000,5588,526.628,Dinamica
4000,6000,4787,508.526,Dinamica
5000,6000,5881,685.708,Dinamica
5000,6000,5810,649.256,Dinamica
5000,6000,6166,660.618,Dinamica
5000,6000,5952,684.714,Dinamica
5000,6000,5466,678.81,Dinamica
5000,6000,5379,652.511,Dinamica
5000,6000,5917,647.264,Dinamica
5000,6000,6095,656.177,Dinamica
5000,6000,5678,670.938,Dinamica
5000,6000,5907,660.152,Dinamica
6000,6000,6005,820.174,Dinamica
6000,6000,6113,862.97,Dinamica
6000,6000,6248,828.109,Dinamica
6000,6000,5982,820.476,Dinamica
6000,6000,6087,828.651,Dinamica
6000,6000,6622,823.74,Dinamica
6000,6000,6039,852.456,Dinamica
6000,6000,6522,823.335,Dinamica
6000,6000,5888,847.676,Dinamica
6000,6000,6209,812.772,Dinamica
7000,6000,6487,1002.52,Dinamica
7000,6000,6173,994.141,Dinamica
7000,6000,6752,1008.8,Dinamica
7000,6000,7401,1002.16,Dinamica
7000,6000,7105,976.005,Dinamica
7000,6000,6908,1018.8,Dinamica
7000,6000,6284,983.592,Dinamica
7000,6000,7192,994.348,Dinamica
7000,6000,6672,988.975,Dinamica
7000,6000,6601,1021.94,Dinamica
8000,6000,6909,1147.11,Dinamica
8000,6000,7606,1163.22,Dinamica
8000,6000,8317,1171.4,Dinamica
8000,6000,7054,1134.62,Dinamica
8000,6000,7131,1151.67,Dinamica
8000,6000,7724,1154.73,Dinamica
8000,6000,6853,1148.25,Dinamica
8000,6000,6795,1170.85,Dinamica
8000,6000,7123,1161.76,Dinamica
8000,6000,7827,1172.66,Dinamica
9000,6000,7963,1349.34,Dinamica
9000,6000,8094,1321.53,Dinamica
9000,6000,7328,1336.01,Dinamica
9000,6000,7721,1305.69,Dinamica
9000,6000,7609,1349.49,Dinamica
9000,6000,8303,1341.72,Dinamica
9000,6000,7616,1328,Dinamica
9000,6000,7791,1332.51,Dinamica
9000,6000,7235,1317.81,Dinamica
9000,6000,8084,1340.88,Dinamica
1000,7000,3107,104.343,Dinamica
1000,7000,3253,108.912,Dinamica
1000,7000,2580,114.976,Dinamica
1000,7000,2579,112.293,Dinamica
1000,7000,2567,107.793,Dinamica
1000,7000,2578,108.414,Dinamica
1000,7000,2791,115.188,Dinamica
1000,7000,2186,112.283,Dinamica
1000,7000,2009,110.976,Dinamica
1000,7000,2258,110.791,Dinamica
2000,7000,4175,253.105,Dinamica
2000,7000,4356,253.722,Dinamica
2000,7000,3598,277.201,Dinamica
2000,7000,3470,285.057,Dinamica
2000,7000,3100,275.737,Dinamica
2000,7000,3620,262.862,Dinamica
2000,7000,3319,260.548,Dinamica
2000,7000,3425,277.903,Dinamica
2000,7000,3404,274.868,Dinamica
2000,7000,3798,255.536,Dinamica
3000,7000,4300,437.055,Dinamica
3000,7000,4587,458.533,Dinamica
3000,7000,4327,438.968,Dinamica
3000,7000,4079,430.015,Dinamica
3000,7000,4703,456.27,Dinamica
3000,7000,4607,435.413,Dinamica
3000,7000,4089,430.151,Dinamica
3000,7000,5002,440.165,Dinamica
3000,7000,4588,445.225,Dinamica
3000,7000,3623,430.82,Dinamica
4000,7000,4869,628.928,Dinamica
4000,7000,5337,613.704,Dinamica
4000,7000,4338,617.427,Dinamica
4000,7000,4817,620.758,Dinamica
4000,7000,4484,639.625,Dinamica
4000,7000,4810,617.609,Dinamica
4000,7000,5129,623.887,Dinamica
